ID	Tweet ID	Valence	Arousal	Dominance	Category
4	['914793795094446082']	0.553363703266	0.550660537347	0.732407820618	anger
7	['902122434714841090']	0.0746365663186	0.75453881336	0.732349309758	anger
8	['864400774251589632']	0.395079009046	0.838520694259	0.768224705575	anger
11	['894957660889591810']	0.0693746178222	0.626346909225	0.647727914037	anger
19	['862334234706530304']	0.377826355918	0.749246919083	0.833499768027	anger
22	['929448896773976064']	0.244327044282	0.690231518226	0.634948530942	anger
23	['931421806636032001']	0.161715336488	0.429026350399	0.307558812466	anger
32	['921705689956913152']	0.330434859446	0.751726972091	0.789125176002	anger
42	['826851690905292815']	0.274580481426	0.363375093634	0.70187296185	anger
53	['898939776258256897']	0.437853538599	0.408968547526	0.865154572127	anger
56	['918901386619867136']	0.346760157769	0.683478065581	0.231764309024	anger
57	['820762945051394052']	0.446762536901	0.294750462037	0.68101681246	anger
59	['824777500299517953']	0.354058187699	0.64581032916	0.80700500274	anger
75	['907829427291258880']	0.144195334562	0.438534988599	0.638526543276	anger
78	['899918369738158080']	0.374946068093	0.386374201564	0.3379625933	anger
84	['854445180140875776']	0.24041798086	0.680892789864	0.667096311953	anger
85	['875388674330042368']	0.270828672487	0.663739782208	0.866852629827	anger
102	['846630910221012993']	0.0627165429625	0.574122009194	0.676271646934	anger
103	['895186557111590912']	0.428691629916	0.213451807099	0.481839324119	anger
109	['885903880525099009']	0.154099372392	0.836481907343	0.682099456475	anger
121	['875605366540611584']	0.314102370981	0.441026887409	0.50934505121	anger
128	['833419835040227328']	0.375336370513	0.690758443314	0.843158587906	anger
135	['899629670542581761']	0.335267524723	0.302957674065	0.211618787953	anger
143	['905471810610892800']	0.387389269742	0.699982645941	0.516049816409	anger
149	['910627487327096832']	0.260573783713	0.515521405547	0.297538747757	anger
154	['869523140484968448']	0.491158660519	0.373264863116	0.494239452105	anger
160	['864910109243305984']	0.427993234843	0.766613314422	0.845357336683	anger
168	['869926146355363840']	0.357378506775	0.425884293822	0.366420229295	anger
175	['848102087586177024']	0.449083803301	0.595734022749	0.745488790297	anger
198	['833493113859633152']	0.174009658721	0.656957460524	0.763828737545	anger
201	['914474919186092032']	0.061895739868	0.845699804795	0.952542702215	anger
