idx,label,text
0,0,@USER Maandagmorgen en extra druk😣Dat is nu voordeel van niet meer werken op maandag al dit nieuws lezen!
1,0,@USER Echt...zweet en shag..en dat een hele dag😡Je zal ermee op kantoor zitten😝
2,0,@USER @USER @USER D66Pechtold zei 1e BELANGRIJKSTE!poging😂dream on Pechtold gelul id ruimte! PVV id 2e grtste!wat e kleuterklasje.pesten uitsluiten z nie 2017
3,0,@USER heeft mijn pakket om 17.02 bezorgd alleen niet bij mij😡leuk vakantiekrachten nu moet ik wachten!waar is mijn pakje
4,0,"HTTP Ik moest lachen😂De reden dat ik niks met Maduro had in,1 bericht #Amsterdamsearrogantie#Nikslatenzien #bestemaarweer"
5,0,"@USER ZWARTgallig🤔er zijn ook nog andere kleuren hoor.
paars groen blauw"
6,0,@USER Sterkte😱normaal een thuiswerkdag op vrijdag maar vandaag een telco in Utrecht🤔weer zo’n dag dat een trein uitvalt en het zeer koud is op het station😱nu weer warm in een trein
7,0,Duizenden afgewezen asielzoekers toch in Nederland HTTP Ja Rutte😁justitie&amp;immigratiedienst  waar???
8,0,Voor die duizenden😏mensen op het #malieveld ook dit is #Islam HTTP
9,0,@USER @USER @USER @USER @USER U😂beiden snapt dan niks van 'gevoel'. -- niks 'ratio' - het gaat juist om die 'grens' in dat gevoelsgebied op het gebied van omgang en sex.
10,0,@USER Bij mijn kleinzoon in groep 3 moeten ze ook zo verkleed komen😳Wie bedenkt zoiets!?🤢
11,0,@USER PVV'ers zijn een ras😃dit is discriminatie
12,0,@USER waarvoor moeten de mensen kijken?? Getuigenis of het hoofddoek debat. Ik zal wel naar de herhalingen zien op tv😉Jongeheer
13,0,"Belgen hebben 70 miljard euro(=17,4%van ons bnp,mondiaal gemiddelde:9,8%) in belastingparadijzen staan😠https://t.co/r09CKLENdd via @USER"
14,0,"RT @USER Sony perst LP's😧vreemde hype😰alles wordt digitaal opgenomen😨Spotify is voor mij #1betere weergave door plaatsing speakers,…"
15,0,"Wat een doffe ellende qua arbitrage bij #reabay😤Twee buitenspel goals, onterecht rood #Vidal en sparen van #Casemiro Asap videoscheids plz!!"
16,0,"@USER @USER Dan vraag je niet, hoe oud is Corne😡Maar hoe jong is Corne eigenlijk? klinkt al stukke vriendelijker 😘"
17,0,@USER  zodat ze geen valse hoop krijgen dat ze hun geld eerder krijgen😡vooral bij mensen die het echt nodig hebben
18,0,@USER @USER Dat begrijp ik niet🤔De CU is geen partij van steile gereformeerden. D66 is eerder dogmatisch atheïstisch en wil dat dwingend opleggen
19,0,@USER Wat eennslechte voorspelling weer😡Om 4uur gaf app nog aan dat het vanavond droog zou zijn en nu weer hoosbuien 😡
20,0,@USER @USER Openlijk commentaar maken. Ik wilde gewoon onvoorbereid zijn😗Ik zit nog op het vliegveld he dus we vragen aan een local wel wat er is🤓
21,0,"@USER ja! En dan gezellig als ""vriendinnen"" onderling😝om 1 zo'n man"
22,0,@USER Een paar om te mailen😂Waarschijnlijk krijg je dan een boete vanwege belediging van het ambt🤔 HTTP
23,0,Oh schaam mij nl mijn klacht als ik op terug kijk klik ik pauzes niet mag doorspoelen😳is wel vet irritant hoor!
24,0,"@USER Fijn, zal proberen niets te zeggen , dus eenrichtingsverkeer🤔moeilijk voor vrouwen😂"
25,0,"@USER Hij brandt al😊sorry ik trek dat heel slecht dat anti-rook gelul...maar ik doe idd wat verstandige Kimmie zegt, relax😃😃👍🏻"
26,0,@USER Ja same😂daarom zei ik hoervis😂
27,0,"HTTP zijn 50 miljoen moslims bereid geweld te gebruiken,Stem 💟💖PVV💗💕15 Maar"
28,0,@USER Vind ik ook!Mensen je bent gewaarschuwd!Kopen &amp; niet zeiken achteraf!of het niet doen🤣sommigen klagen over van alles.zwaar leven heb je dan😁
29,0,@USER @USER Waar haalt deze stichting het geld vandaan? Subsidie? T😜ijd om dat eens te onderzoeken.
30,0,"Enne helpen met Turken??
Hoezo??
Omdat DENK de grootste in Adam is?  Zet men wel aan het denken🤔Adam nieuwe TurkenBolwerk
@PrinsesChrissie"
31,0,Sommige zaken ook te veel😱helaas #privacyschending #stapelingeigenbijdrage #zorgbureaucratie #pratenover-ipv-met#enz.#enz. HTTP
32,0,Balen van @USER -@PostNL wat een ellende. Belangrijke kaart niet aangekomen. Na 3 week nog niet ontvangen😡geen vertrouwen meer!
33,0,@USER Ach ja😳ik moet ook mijn werk in de zorg behouden😖#sarcasme#
34,0,@USER Ik ben voor goed overleg! Hoe ze daar opeens met n mes lopen zwaaien om je toko leeg te halen🤔terwijl dat over 3jr je buurman weer kan zijn
35,0,"Enge man! Was paar jaar geleden wel gecharmeerd van #YasserFeras alias #jesseklaver😢Na zijn gespeelde ik... eng, heeeeel eng! #Loverboy HTTP"
36,0,@USER Al jaren😄De best betaalde Charlatan van de politiek. Allemaal  betaald door belastingbetaler en gestuurd door Jan Nagel
37,0,@USER @USER Afschuwelijk😡En het slachtoffer blijft haar leven lang invalide!!
38,0,@USER Belachelijk anno 2017 en dan zelf niet mogen beslissen wat je wilt eten😢diep triest
39,0,@USER @USER Joran van de Sloot.Rampenplan😖Ik vind het wel heel raar dat haar vriendin NU pas met dat verhaal naar buiten komt? Vader Joran wist ook meer
40,0,@USER @USER @USER Joooo mijn sneudar gaat keihard af😃jij en die koffiekut zijn een match!😂 😂 😜
41,0,@USER Ja dat dan weer wel en van zure matten schijn je gaten in je tong te krijgen😳eet alleen maar ijs hier😏#betergatinmijnhand
42,0,"🖐🏽😝#dwdd
Doordat #MichaelJackson verd8 was v #pedosexualiteit, heeft zijn dood me behalve verdriet gedaan ook bevrijd😳Kon weer v hem houden🤨"
43,0,"@USER ; dus jou sportclub promoot een #verslaving🤔FIRST Athletes Energy Gum bevat 80 mg #cafeïne en voorziet je binnen 10 minuten van een langdurige energie boost, extra focus en kracht. HTTP"
44,0,Verwijder me dan maar van de prive insta zodat ik jullie fototjes niet zie🙄zielig en belachelijk is dat sorry
